"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/FlexibleCombatSystem/DemoRoom/Materials/M_White.M_White","0","23","23","1","37.775215","0","46"
"/Game/FlexibleCombatSystem/DemoRoom/Materials/M_Black.M_Black","0","35","35","1","52.015549","0","70"
"/Game/FlexibleCombatSystem/DemoRoom/Materials/M_Red.M_Red","0","35","35","1","35.365746","0","70"
"/Game/FlexibleCombatSystem/DemoRoom/Materials/M_Green.M_Green","0","35","35","1","34.132835","0","70"
"/Game/FlexibleCombatSystem/DemoRoom/Materials/M_Base.M_Base","0","23","23","1","25.929934","0","46"
"/Game/FlexibleCombatSystem/DemoRoom/Materials/M_Glossy_Dark_Grey.M_Glossy_Dark_Grey","0","23","23","1","0.000000","0","46"
"/Game/FlexibleCombatSystem/DemoRoom/Materials/M_Chrome.M_Chrome","0","23","23","1","0.000000","0","46"
"/Game/ParisStreet/Materials/MM_Mcables.MM_Mcables","0","23","23","1","21.276752","0","23"
"/Game/FlexibleCombatSystem/DemoRoom/Materials/M_DemoWall.M_DemoWall","0","56","59","1","68.031746","0","118"
"/Game/Inventory/Materials/M_Outline.M_Outline","0","32","36","1","39.906677","0","36"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","0","20","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","8","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","0","5","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","0","5","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","0","8","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","0","7","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","0","29","1","0.000000","0","0"
"/Engine/EditorMaterials/Dataflow/DataflowVertexMaterial.DataflowVertexMaterial","0","0","26","1","0.000000","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","0","67","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","0","11","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","5","1","0.000000","0","0"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","0","14","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","0","5","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","26","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","14","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","5","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","45","1","0.000000","0","0"
"/Engine/EditorMaterials/WidgetMaterial_Current.WidgetMaterial_Current","0","0","8","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/VertexColorViewMode_GreenOnly.VertexColorViewMode_GreenOnly","0","0","12","1","0.000000","0","0"
"/Game/FlexibleCombatSystem/DemoRoom/Materials/M_LightTube.M_LightTube","0","4","4","1","4.391266","0","4"
"/Game/FlexibleCombatSystem/DemoRoom/Materials/M_DefaultTextMaterialTranslucentUnlit.M_DefaultTextMaterialTranslucentUnlit","0","22","22","1","23.370398","0","22"
